

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   1    1  69.550

 It          oL           L  errX  errY
 69 -1339.23441 -1338.63511 77.34 77.98
 70 -1338.63511 -1338.16420 77.42 77.93
 71 -1338.16420 -1337.80018 77.43 77.82
 72 -1337.80018 -1337.52536 77.38 77.77
 73 -1337.52536 -1337.24281 77.37 77.70
 74 -1337.24281 -1336.95812 77.38 77.67
 75 -1336.95812 -1336.67492 77.32 77.90
 76 -1336.67492 -1336.30678 77.32 78.00
 77 -1336.30678 -1335.94638 77.31 78.00
 78 -1335.94638 -1335.59876 77.34 78.00
 79 -1335.59876 -1335.27237 77.31 77.95
 80 -1335.27237 -1334.99642 77.30 77.95
 81 -1334.99642 -1334.78368 77.26 77.88
 82 -1334.78368 -1334.52449 77.24 77.82
 83 -1334.52449 -1334.24065 77.22 77.62
 84 -1334.24065 -1333.91440 77.33 77.63
 85 -1333.91440 -1333.51737 77.20 77.72
 86 -1333.51737 -1332.98101 77.12 77.65
 87 -1332.98101 -1332.55577 77.13 77.67
 88 -1332.55577 -1332.12244 77.12 77.67
 89 -1332.12244 -1331.72706 77.09 77.38
 90 -1331.72706 -1331.43210 77.14 77.37
 91 -1331.43210 -1331.12182 77.13 77.37
 92 -1331.12182 -1330.93528 77.18 77.32
 93 -1330.93528 -1330.73674 77.16 77.23
 94 -1330.73674 -1330.58688 77.12 77.15
 95 -1330.58688 -1330.50607 77.12 77.20

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   1   10  77.200

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -2718.02351 76.47 76.77
  2 -2718.02351 -1193.43184 76.81 77.15
  3 -1193.43184  -982.64599 76.37 76.00
  4  -982.64599  -867.59976 76.42 76.75
  5  -867.59976  -791.25888 75.89 76.72
  6  -791.25888  -738.05276 75.79 76.60
  7  -738.05276  -701.23057 75.84 76.33
  8  -701.23057  -672.37036 76.33 76.50
  9  -672.37036  -650.08056 76.23 76.75
 10  -650.08056  -630.30536 76.28 76.47
 11  -630.30536  -613.54427 76.36 76.37
 12  -613.54427  -600.21216 76.49 76.15
 13  -600.21216  -588.91227 76.69 76.33
 14  -588.91227  -579.57042 76.77 76.47
 15  -579.57042  -571.55905 76.88 76.70
 16  -571.55905  -564.77521 77.13 76.85
 17  -564.77521  -558.32223 77.20 77.13
 18  -558.32223  -552.25457 77.18 76.77
 19  -552.25457  -547.05412 77.44 77.30
 20  -547.05412  -541.97410 77.41 77.22
 21  -541.97410  -537.08139 77.34 76.80
 22  -537.08139  -531.75981 77.21 76.60
 23  -531.75981  -526.85272 77.34 76.87
 24  -526.85272  -522.34528 77.11 76.48
 25  -522.34528  -517.83710 77.37 76.70
 26  -517.83710  -513.00581 77.39 76.38
 27  -513.00581  -508.11896 77.68 77.15
 28  -508.11896  -503.05006 77.74 77.38
 29  -503.05006  -498.09540 77.52 77.50
 30  -498.09540  -493.99331 77.34 77.82
 31  -493.99331  -490.20238 77.29 77.65
 32  -490.20238  -486.67033 77.54 78.10
 33  -486.67033  -482.89036 77.61 77.65
 34  -482.89036  -479.35278 77.48 77.75
 35  -479.35278  -476.09804 77.84 78.08
 36  -476.09804  -473.21655 77.52 77.55
 37  -473.21655  -470.44596 77.58 77.55
 38  -470.44596  -467.88605 77.77 77.63
 39  -467.88605  -465.44741 78.02 77.75
 40  -465.44741  -463.40816 78.04 78.33
 41  -463.40816  -461.59502 77.84 78.27
 42  -461.59502  -459.87170 77.79 78.02
 43  -459.87170  -458.05104 77.71 77.93
 44  -458.05104  -456.47880 77.66 77.80
 45  -456.47880  -454.83954 77.64 77.87
 46  -454.83954  -453.35686 77.68 77.80
 47  -453.35686  -451.96730 77.72 78.02
 48  -451.96730  -450.69347 77.85 78.40
 49  -450.69347  -449.41098 77.67 78.32
 50  -449.41098  -448.28841 77.65 78.38
 51  -448.28841  -447.19539 77.83 78.68
 52  -447.19539  -445.94692 78.06 78.75
 53  -445.94692  -444.80005 78.28 78.68
 54  -444.80005  -443.53361 78.07 78.17
 55  -443.53361  -442.16698 78.29 78.13
 56  -442.16698  -440.62491 78.16 78.15
 57  -440.62491  -438.96775 77.96 77.73
 58  -438.96775  -437.55256 77.88 77.80
 59  -437.55256  -436.13304 77.77 77.67
 60  -436.13304  -435.05949 77.98 77.75
 61  -435.05949  -434.17667 78.12 77.98
 62  -434.17667  -433.35947 77.89 77.75
 63  -433.35947  -432.56531 77.94 78.17
 64  -432.56531  -431.70964 78.06 77.98
