

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   1    1  69.550

 It          oL           L  errX  errY
  -----   ---   ---  ------
  1.0e-05   1  100  75.817

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -88757.56711 55.66 55.48
  2 -88757.56711 -48206.55798 55.66 55.48
  3 -48206.55798 -48206.55798 55.66 55.48

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   2    1  55.483

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -77001.47747 60.84 60.30
  2 -77001.47747 -36526.52603 60.24 59.13
  3 -36526.52603 -35488.04933 59.37 58.48
  4 -35488.04933 -34965.10021 58.82 58.25
  5 -34965.10021 -34776.65669 57.67 57.38
  6 -34776.65669 -34715.07110 57.31 57.23
  7 -34715.07110 -34700.30446 57.09 57.10
  8 -34700.30446 -34698.38751 57.08 57.05

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   2    2  57.050

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -40661.82950 61.20 61.57
  2 -40661.82950 -21858.52261 60.89 60.18
  3 -21858.52261 -21144.31878 60.46 59.83
  4 -21144.31878 -20751.83411 60.06 59.90
  5 -20751.83411 -20530.20023 59.85 59.65
  6 -20530.20023 -20404.13477 59.55 59.30
  7 -20404.13477 -20297.23731 59.64 58.93
  8 -20297.23731 -20216.55036 59.51 59.08
  9 -20216.55036 -20153.84155 59.36 59.05
 10 -20153.84155 -20101.26370 59.32 59.02
 11 -20101.26370 -20050.91633 59.41 58.68
 12 -20050.91633 -20001.81295 59.26 58.75
 13 -20001.81295 -19957.54554 59.21 58.40
 14 -19957.54554 -19922.69426 59.19 58.40
 15 -19922.69426 -19894.58167 59.16 58.60
 16 -19894.58167 -19874.55691 59.24 58.77
 17 -19874.55691 -19854.91717 59.24 59.00
 18 -19854.91717 -19835.44356 59.20 58.85
 19 -19835.44356 -19815.09790 59.13 58.75
 20 -19815.09790 -19796.03558 59.08 58.78
 21 -19796.03558 -19775.84505 58.89 58.67
 22 -19775.84505 -19754.10233 58.73 58.57
 23 -19754.10233 -19737.57803 58.60 58.53
 24 -19737.57803 -19725.67167 58.56 58.52
 25 -19725.67167 -19717.54788 58.52 58.47
 26 -19717.54788 -19710.54686 58.50 58.47
 27 -19710.54686 -19707.41544 58.55 58.38
 28 -19707.41544 -19702.87688 58.55 58.33
 29 -19702.87688 -19699.13551 58.62 58.37
 30 -19699.13551 -19694.96602 58.60 58.52
 31 -19694.96602 -19690.37989 58.64 58.47
 32 -19690.37989 -19688.43132 58.63 58.47

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   2    5  58.467

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -24361.39933 62.26 61.70
  2 -24361.39933 -14151.41305 61.52 61.35
  3 -14151.41305 -13278.05828 61.11 60.60
  4 -13278.05828 -12887.02964 60.94 60.28
  5 -12887.02964 -12659.24379 60.95 60.27
  6 -12659.24379 -12502.77045 61.02 60.30
  7 -12502.77045 -12395.43130 61.11 59.95
  8 -12395.43130 -12318.77794 61.03 60.18
  9 -12318.77794 -12258.80278 61.01 60.07
 10 -12258.80278 -12211.24538 61.08 60.18
 11 -12211.24538 -12167.01770 61.12 60.40
 12 -12167.01770 -12128.50154 61.14 60.70
 13 -12128.50154 -12093.68569 61.22 60.73
 14 -12093.68569 -12061.28845 61.29 61.00
 15 -12061.28845 -12034.03054 61.34 61.12
 16 -12034.03054 -12014.14531 61.29 60.95
 17 -12014.14531 -11999.13484 61.29 60.97
 18 -11999.13484 -11986.59573 61.24 60.83
 19 -11986.59573 -11976.34314 61.30 60.82
 20 -11976.34314 -11967.01330 61.31 61.15
 21 -11967.01330 -11959.42813 61.35 61.23
 22 -11959.42813 -11952.92007 61.43 61.07
 23 -11952.92007 -11948.10056 61.44 61.00
 24 -11948.10056 -11943.71502 61.45 61.15
 25 -11943.71502 -11940.21830 61.45 61.12
 26 -11940.21830 -11937.15951 61.44 61.08
 27 -11937.15951 -11932.59335 61.41 61.13
 28 -11932.59335 -11929.71903 61.36 61.22
 29 -11929.71903 -11927.79281 61.36 61.17
 30 -11927.79281 -11925.48439 61.40 61.25
 31 -11925.48439 -11922.97524 61.35 61.18
 32 -11922.97524 -11921.19183 61.37 61.18
 33 -11921.19183 -11918.90902 61.37 61.13
 34 -11918.90902 -11916.74568 61.39 61.17
 35 -11916.74568 -11914.68076 61.40 61.12
 36 -11914.68076 -11913.01435 61.39 61.15
 37 -11913.01435 -11911.40436 61.38 60.93
 38 -11911.40436 -11909.51528 61.38 60.98
 39 -11909.51528 -11907.81518 61.38 61.08
 40 -11907.81518 -11906.32420 61.37 61.00
 41 -11906.32420 -11904.44003 61.37 60.95
 42 -11904.44003 -11902.69651 61.35 60.85
 43 -11902.69651 -11901.07611 61.36 60.85
 44 -11901.07611 -11899.14614 61.37 60.85
 45 -11899.14614 -11897.31236 61.42 60.92
 46 -11897.31236 -11895.80870 61.44 60.87
 47 -11895.80870 -11894.77627 61.45 60.90

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   2   10  60.900

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -13812.77697 63.13 62.87
  2 -13812.77697 -8530.68527 63.04 63.72
  3 -8530.68527 -7940.33609 63.11 63.82
  4 -7940.33609 -7641.94814 63.06 63.48
  5 -7641.94814 -7450.56014 62.98 63.28
  6 -7450.56014 -7320.99344 63.02 63.60
  7 -7320.99344 -7226.95404 63.02 63.55
  8 -7226.95404 -7155.66957 63.07 63.47
  9 -7155.66957 -7098.80446 63.00 63.23
 10 -7098.80446 -7056.08962 62.86 63.38
 11 -7056.08962 -7019.18678 62.87 63.02
 12 -7019.18678 -6987.57714 62.77 63.12
 13 -6987.57714 -6962.89929 62.64 63.52
 14 -6962.89929 -6941.46438 62.60 63.63
 15 -6941.46438 -6923.25499 62.46 63.77
 16 -6923.25499 -6907.89338 62.40 63.80
 17 -6907.89338 -6894.91512 62.40 63.93
 18 -6894.91512 -6883.16358 62.35 63.87
 19 -6883.16358 -6871.49846 62.43 63.87
 20 -6871.49846 -6862.11807 62.46 63.83
 21 -6862.11807 -6853.40991 62.51 63.73
 22 -6853.40991 -6846.26664 62.54 63.55
 23 -6846.26664 -6839.10988 62.57 63.67
 24 -6839.10988 -6831.80074 62.61 63.77
 25 -6831.80074 -6824.74182 62.60 63.78
 26 -6824.74182 -6817.57105 62.64 63.67
 27 -6817.57105 -6811.30109 62.64 63.67
 28 -6811.30109 -6806.66231 62.71 63.53
 29 -6806.66231 -6802.46481 62.73 63.52
 30 -6802.46481 -6798.20910 62.72 63.33
 31 -6798.20910 -6793.65972 62.69 63.13
 32 -6793.65972 -6789.77241 62.75 63.10
 33 -6789.77241 -6785.44914 62.75 63.12
 34 -6785.44914 -6781.92243 62.73 63.03
 35 -6781.92243 -6778.46716 62.65 63.05
 36 -6778.46716 -6775.40101 62.66 63.07
 37 -6775.40101 -6772.31822 62.67 63.10
 38 -6772.31822 -6769.50408 62.65 63.15
 39 -6769.50408 -6767.05656 62.59 63.03
 40 -6767.05656 -6764.70805 62.62 63.07
 41 -6764.70805 -6762.57202 62.62 63.12
 42 -6762.57202 -6760.53050 62.63 63.10
 43 -6760.53050 -6758.82856 62.60 63.00
 44 -6758.82856 -6757.20596 62.58 62.97
 45 -6757.20596 -6755.46556 62.60 63.00
 46 -6755.46556 -6753.45935 62.61 62.92
 47 -6753.45935 -6751.17489 62.60 62.90
 48 -6751.17489 -6748.72443 62.62 62.97
 49 -6748.72443 -6746.20962 62.63 63.03
 50 -6746.20962 -6744.12121 62.62 62.92
 51 -6744.12121 -6742.20795 62.58 62.95
 52 -6742.20795 -6740.83855 62.51 62.92
 53 -6740.83855 -6739.43185 62.52 62.83
 54 -6739.43185 -6737.78145 62.46 62.87
 55 -6737.78145 -6735.50791 62.46 62.82
 56 -6735.50791 -6733.57575 62.41 62.80
 57 -6733.57575 -6731.99284 62.42 62.78
 58 -6731.99284 -6730.49574 62.46 62.73
 59 -6730.49574 -6729.47601 62.53 62.93
 60 -6729.47601 -6728.20072 62.55 63.03
 61 -6728.20072 -6726.78175 62.54 62.92
 62 -6726.78175 -6725.31925 62.53 62.92
 63 -6725.31925 -6724.07302 62.49 62.98
 64 -6724.07302 -6722.73936 62.42 62.98
 65 -6722.73936 -6721.59488 62.39 62.95
 66 -6721.59488 -6720.50083 62.42 62.95
 67 -6720.50083 -6719.40994 62.43 62.87
 68 -6719.40994 -6718.69901 62.44 62.85
 69 -6718.69901 -6718.28145 62.41 62.82

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   2   20  62.817

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -6767.22942 61.87 62.73
  2 -6767.22942 -4148.30474 61.70 62.55
  3 -4148.30474 -3797.71557 61.82 61.70
  4 -3797.71557 -3627.23324 61.73 61.95
  5 -3627.23324 -3518.09182 61.72 61.72
  6 -3518.09182 -3438.01023 61.73 61.82
  7 -3438.01023 -3377.86998 61.93 62.08
  8 -3377.86998 -3331.90261 61.90 62.10
  9 -3331.90261 -3295.74314 61.97 61.92
 10 -3295.74314 -3267.29936 62.15 62.00
 11 -3267.29936 -3241.57983 62.21 62.10
 12 -3241.57983 -3219.00155 62.23 62.05
 13 -3219.00155 -3199.06674 62.34 62.35
 14 -3199.06674 -3182.16279 62.25 62.57
 15 -3182.16279 -3167.55071 62.22 62.60
 16 -3167.55071 -3155.32732 62.31 62.77
 17 -3155.32732 -3144.41750 62.30 62.82
 18 -3144.41750 -3133.32962 62.38 62.85
 19 -3133.32962 -3123.48756 62.39 63.10
 20 -3123.48756 -3116.04203 62.33 63.22
 21 -3116.04203 -3109.55140 62.37 63.13
 22 -3109.55140 -3103.12476 62.33 63.20
 23 -3103.12476 -3096.91453 62.36 63.38
 24 -3096.91453 -3092.14235 62.34 63.53
 25 -3092.14235 -3088.09751 62.35 63.30
 26 -3088.09751 -3084.42470 62.48 63.48
 27 -3084.42470 -3080.90723 62.46 63.65
 28 -3080.90723 -3077.68856 62.45 63.63
 29 -3077.68856 -3074.50335 62.45 63.57
 30 -3074.50335 -3071.86944 62.45 63.68
 31 -3071.86944 -3069.48475 62.37 63.85
 32 -3069.48475 -3066.71783 62.34 63.85
 33 -3066.71783 -3064.09842 62.33 64.00
 34 -3064.09842 -3062.20659 62.30 63.87
 35 -3062.20659 -3060.06693 62.31 63.87
 36 -3060.06693 -3057.95779 62.26 63.82
 37 -3057.95779 -3056.28197 62.25 63.75
 38 -3056.28197 -3054.76784 62.33 63.70
 39 -3054.76784 -3053.24492 62.31 63.85
 40 -3053.24492 -3051.82147 62.29 63.80
 41 -3051.82147 -3050.25054 62.30 63.75
 42 -3050.25054 -3048.78063 62.30 63.72
 43 -3048.78063 -3046.90835 62.27 63.68
 44 -3046.90835 -3044.55437 62.28 63.78
 45 -3044.55437 -3042.31256 62.35 63.78
 46 -3042.31256 -3040.86803 62.33 63.93
 47 -3040.86803 -3039.00359 62.34 63.98
 48 -3039.00359 -3036.74689 62.29 64.08
 49 -3036.74689 -3035.22907 62.26 64.17
 50 -3035.22907 -3033.68868 62.27 64.23
 51 -3033.68868 -3031.94380 62.28 64.20
 52 -3031.94380 -3030.18098 62.24 64.13
 53 -3030.18098 -3028.67943 62.21 64.03
 54 -3028.67943 -3026.91844 62.24 63.97
 55 -3026.91844 -3024.80105 62.20 64.00
 56 -3024.80105 -3022.64161 62.24 64.03
 57 -3022.64161 -3021.73168 62.24 63.92
 58 -3021.73168 -3020.92678 62.23 63.97
 59 -3020.92678 -3020.39516 62.28 64.00
 60 -3020.39516 -3019.89087 62.26 64.08
 61 -3019.89087 -3019.42516 62.26 64.13
 62 -3019.42516 -3018.87718 62.26 64.15
 63 -3018.87718 -3018.07774 62.29 64.10
 64 -3018.07774 -3017.18196 62.28 64.00
 65 -3017.18196 -3016.47829 62.31 64.03
 66 -3016.47829 -3015.84064 62.30 64.12
 67 -3015.84064 -3015.52443 62.32 64.20
 68 -3015.52443 -3015.04172 62.32 64.17
 69 -3015.04172 -3014.38159 62.31 64.17
 70 -3014.38159 -3013.48482 62.31 64.10
 71 -3013.48482 -3012.62658 62.29 64.08
 72 -3012.62658 -3011.70282 62.29 64.10
 73 -3011.70282 -3010.92432 62.31 64.18
 74 -3010.92432 -3009.96950 62.31 64.18
 75 -3009.96950 -3008.91482 62.33 64.18
 76 -3008.91482 -3008.10147 62.31 64.22
 77 -3008.10147 -3007.51121 62.30 64.05
 78 -3007.51121 -3007.22462 62.30 64.05

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   2   50  64.050

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -4006.08323 61.87 62.28
  2 -4006.08323 -2390.86582 61.62 62.65
  3 -2390.86582 -2148.25541 61.47 62.70
  4 -2148.25541 -2021.76419 61.43 63.13
  5 -2021.76419 -1948.12818 61.30 63.20
  6 -1948.12818 -1893.78970 61.45 63.07
  7 -1893.78970 -1853.93032 61.42 63.43
  8 -1853.93032 -1821.50160 61.34 63.18
  9 -1821.50160 -1794.16916 61.27 63.18
 10 -1794.16916 -1771.45493 61.26 63.07
 11 -1771.45493 -1751.36298 61.19 63.07
 12 -1751.36298 -1734.71760 61.17 62.98
 13 -1734.71760 -1721.45050 61.08 63.07
 14 -1721.45050 -1709.36864 61.26 63.07
 15 -1709.36864 -1698.45868 61.10 63.07
 16 -1698.45868 -1690.06856 60.95 63.23
 17 -1690.06856 -1683.13520 60.97 63.25
 18 -1683.13520 -1676.45265 60.95 63.02
 19 -1676.45265 -1670.35234 60.93 62.77
 20 -1670.35234 -1664.65197 60.98 62.82
 21 -1664.65197 -1659.35124 60.99 62.73
 22 -1659.35124 -1654.48864 61.06 62.85
 23 -1654.48864 -1650.44394 61.00 63.00
 24 -1650.44394 -1647.03791 61.04 63.17
 25 -1647.03791 -1643.82630 61.06 63.08
 26 -1643.82630 -1641.18409 61.06 63.05
 27 -1641.18409 -1638.38101 61.08 63.05
 28 -1638.38101 -1634.91731 61.06 63.03
 29 -1634.91731 -1631.52787 61.13 63.32
 30 -1631.52787 -1628.68495 61.11 63.58
 31 -1628.68495 -1625.27442 61.07 63.52
 32 -1625.27442 -1622.63413 61.09 63.40
 33 -1622.63413 -1620.52180 61.22 63.25
 34 -1620.52180 -1618.75131 61.22 63.42
 35 -1618.75131 -1617.37044 61.18 63.42
 36 -1617.37044 -1615.94827 61.13 63.37
 37 -1615.94827 -1614.27572 61.09 63.43
 38 -1614.27572 -1612.55098 61.04 63.35
 39 -1612.55098 -1610.90439 61.04 63.25
 40 -1610.90439 -1609.61948 60.98 63.15
 41 -1609.61948 -1608.46383 61.00 63.13
 42 -1608.46383 -1607.41763 60.99 62.93
 43 -1607.41763 -1606.55639 60.96 62.92
 44 -1606.55639 -1605.57663 60.98 62.97
 45 -1605.57663 -1604.66253 60.96 62.83
 46 -1604.66253 -1603.91115 60.95 62.85
 47 -1603.91115 -1603.34492 60.98 62.95
 48 -1603.34492 -1602.76512 61.00 62.97
 49 -1602.76512 -1602.21414 60.99 62.95
 50 -1602.21414 -1601.69646 60.99 62.90
 51 -1601.69646 -1601.28678 61.01 62.85
 52 -1601.28678 -1601.00445 61.02 62.77
 53 -1601.00445 -1600.63107 61.00 62.73
 54 -1600.63107 -1600.19703 61.01 62.77
 55 -1600.19703 -1599.74760 61.03 62.80
 56 -1599.74760 -1599.47747 61.04 62.70
 57 -1599.47747 -1599.24799 61.04 62.73
 58 -1599.24799 -1599.04313 61.06 62.75
 59 -1599.04313 -1598.82022 61.06 62.75
 60 -1598.82022 -1598.60965 61.04 62.62
 61 -1598.60965 -1598.24796 61.02 62.62
 62 -1598.24796 -1597.08465 60.99 62.73
 63 -1597.08465 -1596.65219 60.97 62.78
 64 -1596.65219 -1596.35065 61.00 62.78
 65 -1596.35065 -1596.11936 61.01 62.77
 66 -1596.11936 -1595.96700 61.02 62.75

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   2  100  62.750

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -214586.49022 30.09 29.88
  2 -214586.49022 -118048.76104 30.09 29.88
  3 -118048.76104 -118048.76104 30.09 29.88

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   5    1  29.883

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -220324.89340 30.98 30.57
  2 -220324.89340 -103905.22024 30.46 30.32
  3 -103905.22024 -102848.85754 30.29 29.87
  4 -102848.85754 -102205.90935 30.13 29.88
  5 -102205.90935 -101939.34231 29.84 29.82
  6 -101939.34231 -101885.08275 29.72 29.55
  7 -101885.08275 -101859.94431 29.61 29.48
  8 -101859.94431 -101823.43201 29.57 29.38
  9 -101823.43201 -101797.04278 29.52 29.18
 10 -101797.04278 -101764.85752 29.44 29.15
 11 -101764.85752 -101742.32487 29.39 29.25
 12 -101742.32487 -101722.72259 29.37 29.23
 13 -101722.72259 -101704.37246 29.35 29.17
 14 -101704.37246 -101671.74217 29.34 29.30
 15 -101671.74217 -101653.29961 29.34 29.33
 16 -101653.29961 -101636.97252 29.33 29.35
 17 -101636.97252 -101624.38481 29.33 29.33
 18 -101624.38481 -101618.69065 29.28 29.27

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   5    2  29.267

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -176004.41640 31.83 31.63
  2 -176004.41640 -83571.05344 30.52 30.03
  3 -83571.05344 -82654.37614 29.79 29.35
  4 -82654.37614 -82300.21769 29.40 28.92
  5 -82300.21769 -82144.19132 29.19 29.02
  6 -82144.19132 -82017.32571 29.06 28.82
  7 -82017.32571 -81881.58964 29.02 28.60
  8 -81881.58964 -81755.46189 28.92 28.50
  9 -81755.46189 -81664.30238 28.86 28.50
 10 -81664.30238 -81563.71193 28.87 28.40
 11 -81563.71193 -81475.61118 28.72 28.38
 12 -81475.61118 -81417.24514 28.75 28.28
 13 -81417.24514 -81368.64711 28.70 28.23
 14 -81368.64711 -81331.09898 28.67 28.33
 15 -81331.09898 -81301.75105 28.68 28.27
 16 -81301.75105 -81280.16416 28.68 28.22
 17 -81280.16416 -81258.35702 28.65 28.22
 18 -81258.35702 -81240.81323 28.62 28.25
 19 -81240.81323 -81224.85478 28.58 28.17
 20 -81224.85478 -81213.17318 28.52 28.03
 21 -81213.17318 -81204.60984 28.51 28.25
 22 -81204.60984 -81194.41068 28.46 28.25
 23 -81194.41068 -81182.99024 28.55 28.18
 24 -81182.99024 -81177.18848 28.56 28.17

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   5    5  28.167

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -141045.68951 31.09 31.07
  2 -141045.68951 -70162.90577 30.19 30.20
  3 -70162.90577 -69046.84384 29.61 29.43
  4 -69046.84384 -68556.17192 29.34 29.38
  5 -68556.17192 -68280.23808 29.20 29.28
  6 -68280.23808 -68109.25498 28.97 29.07
  7 -68109.25498 -67981.23345 28.77 28.97
  8 -67981.23345 -67877.30999 28.73 29.03
  9 -67877.30999 -67781.44008 28.69 28.87
 10 -67781.44008 -67690.22255 28.66 28.85
 11 -67690.22255 -67612.57874 28.71 29.05
 12 -67612.57874 -67546.18892 28.75 29.18
 13 -67546.18892 -67491.90207 28.70 28.97
 14 -67491.90207 -67451.18396 28.70 28.85
 15 -67451.18396 -67408.23801 28.67 28.88
 16 -67408.23801 -67373.18664 28.62 28.97
 17 -67373.18664 -67352.17819 28.60 28.98
 18 -67352.17819 -67329.77328 28.62 29.05
 19 -67329.77328 -67304.87880 28.62 28.97
 20 -67304.87880 -67274.54597 28.67 28.90
 21 -67274.54597 -67255.48282 28.65 28.82
 22 -67255.48282 -67239.59736 28.67 28.83
 23 -67239.59736 -67227.41232 28.67 28.83
 24 -67227.41232 -67216.53216 28.68 28.92
 25 -67216.53216 -67203.39089 28.70 28.92
 26 -67203.39089 -67193.07699 28.73 29.02
 27 -67193.07699 -67185.06418 28.74 29.15
 28 -67185.06418 -67174.18992 28.77 29.10
 29 -67174.18992 -67162.72572 28.73 29.17
 30 -67162.72572 -67149.97434 28.75 29.08
 31 -67149.97434 -67139.53103 28.76 29.20
 32 -67139.53103 -67129.35545 28.72 29.17
 33 -67129.35545 -67117.17660 28.76 29.07
 34 -67117.17660 -67103.08479 28.72 29.05
 35 -67103.08479 -67086.77686 28.76 29.10
 36 -67086.77686 -67077.72634 28.71 29.12
 37 -67077.72634 -67069.94994 28.71 29.07
 38 -67069.94994 -67060.50737 28.69 29.12
 39 -67060.50737 -67050.52833 28.70 29.20
 40 -67050.52833 -67046.19900 28.71 29.13

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   5   10  29.133

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -105615.06229 31.36 32.17
  2 -105615.06229 -57935.54023 30.23 31.13
  3 -57935.54023 -56884.36835 29.53 30.67
  4 -56884.36835 -56291.09029 29.04 30.17
  5 -56291.09029 -55906.46022 28.81 29.77
  6 -55906.46022 -55639.29526 28.65 29.65
  7 -55639.29526 -55434.17675 28.52 29.60
  8 -55434.17675 -55282.00479 28.39 29.58
  9 -55282.00479 -55161.84581 28.36 29.43
 10 -55161.84581 -55049.15721 28.29 29.40
 11 -55049.15721 -54955.64202 28.24 29.32
 12 -54955.64202 -54874.50244 28.12 29.27
 13 -54874.50244 -54792.70812 28.07 29.32
 14 -54792.70812 -54721.24902 28.07 29.35
 15 -54721.24902 -54636.57449 27.96 29.10
 16 -54636.57449 -54555.07762 27.79 29.15
 17 -54555.07762 -54498.12010 27.77 29.30
 18 -54498.12010 -54448.10160 27.67 29.40
 19 -54448.10160 -54406.00525 27.73 29.40
 20 -54406.00525 -54370.22116 27.73 29.28
 21 -54370.22116 -54346.12170 27.69 29.42
 22 -54346.12170 -54320.12465 27.65 29.63
 23 -54320.12465 -54299.25041 27.68 29.48
 24 -54299.25041 -54277.12621 27.67 29.47
 25 -54277.12621 -54255.40308 27.67 29.48
 26 -54255.40308 -54244.67104 27.69 29.67
 27 -54244.67104 -54235.68694 27.69 29.62
 28 -54235.68694 -54227.41031 27.67 29.62
 29 -54227.41031 -54216.44421 27.69 29.50
 30 -54216.44421 -54205.81281 27.68 29.38
 31 -54205.81281 -54198.36173 27.70 29.32
 32 -54198.36173 -54192.36805 27.70 29.32
 33 -54192.36805 -54185.29633 27.66 29.30
 34 -54185.29633 -54174.93668 27.69 29.30
 35 -54174.93668 -54166.50645 27.65 29.18
 36 -54166.50645 -54159.61948 27.69 29.17
 37 -54159.61948 -54155.22009 27.69 29.13

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   5   20  29.133

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -73968.93518 30.89 32.62
  2 -73968.93518 -43965.29664 29.40 31.90
  3 -43965.29664 -42639.90912 28.71 31.08
  4 -42639.90912 -41951.59989 28.22 30.73
  5 -41951.59989 -41532.17420 27.93 30.55
  6 -41532.17420 -41240.57765 27.72 30.40
  7 -41240.57765 -41013.83587 27.56 30.03
  8 -41013.83587 -40846.03545 27.44 30.22
  9 -40846.03545 -40709.02317 27.38 29.95
 10 -40709.02317 -40606.66881 27.25 29.78
 11 -40606.66881 -40527.16347 27.33 29.63
 12 -40527.16347 -40462.05741 27.29 29.67
 13 -40462.05741 -40406.80396 27.19 29.68
 14 -40406.80396 -40356.63960 27.10 29.65
 15 -40356.63960 -40315.35331 27.06 29.60
 16 -40315.35331 -40286.11354 27.05 29.62
 17 -40286.11354 -40261.59453 27.00 29.63
 18 -40261.59453 -40234.67789 26.93 29.67
 19 -40234.67789 -40212.13242 26.93 29.60
 20 -40212.13242 -40193.33959 26.87 29.53
 21 -40193.33959 -40174.33426 26.90 29.53
 22 -40174.33426 -40158.61184 26.96 29.43
 23 -40158.61184 -40142.51820 26.92 29.42
 24 -40142.51820 -40128.21354 26.91 29.45
 25 -40128.21354 -40114.33744 26.94 29.48
 26 -40114.33744 -40101.62140 26.94 29.48
 27 -40101.62140 -40090.98170 26.94 29.45
 28 -40090.98170 -40080.65603 26.96 29.47
 29 -40080.65603 -40072.57729 26.94 29.45
 30 -40072.57729 -40065.10341 26.98 29.47
 31 -40065.10341 -40060.77302 26.98 29.33
 32 -40060.77302 -40057.25981 26.96 29.38

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   5   50  29.383

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -54050.76718 29.39 31.85
  2 -54050.76718 -34558.58768 28.18 30.68
  3 -34558.58768 -33314.89561 27.44 30.13
  4 -33314.89561 -32640.84280 26.99 30.50
  5 -32640.84280 -32245.76872 26.63 30.23
  6 -32245.76872 -31979.63668 26.44 30.18
  7 -31979.63668 -31803.55616 26.29 30.08
  8 -31803.55616 -31666.75630 26.24 30.07
  9 -31666.75630 -31564.93091 26.12 29.77
 10 -31564.93091 -31478.88426 26.02 29.80
 11 -31478.88426 -31415.66593 25.98 29.85
 12 -31415.66593 -31358.06021 25.91 29.83
 13 -31358.06021 -31310.05994 25.86 29.85
 14 -31310.05994 -31268.68679 25.82 29.77
 15 -31268.68679 -31235.63559 25.84 29.73
 16 -31235.63559 -31206.10408 25.84 29.75
 17 -31206.10408 -31181.91929 25.89 29.82
 18 -31181.91929 -31163.47870 25.87 29.72
 19 -31163.47870 -31141.03827 25.81 29.62
 20 -31141.03827 -31119.17592 25.80 29.58
 21 -31119.17592 -31100.79049 25.73 29.47
 22 -31100.79049 -31084.92467 25.70 29.37
 23 -31084.92467 -31073.00620 25.64 29.37
 24 -31073.00620 -31063.19230 25.63 29.32
 25 -31063.19230 -31055.27874 25.62 29.32
 26 -31055.27874 -31046.96194 25.61 29.27
 27 -31046.96194 -31038.95347 25.59 29.25
 28 -31038.95347 -31033.20045 25.60 29.25
 29 -31033.20045 -31027.44312 25.57 29.28
 30 -31027.44312 -31021.00432 25.55 29.35
 31 -31021.00432 -31015.54808 25.55 29.38
 32 -31015.54808 -31009.63044 25.52 29.43
 33 -31009.63044 -31005.66691 25.51 29.43
 34 -31005.66691 -31002.86022 25.52 29.47

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   5  100  29.467

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -391717.35132 14.75 14.93
  2 -391717.35132 -202343.77518 14.75 14.93
  3 -202343.77518 -202343.77518 14.75 14.93

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05  10    1  14.933


  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05  10    2  13.367

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05  10    5  11.517

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05  10   10  10.817


  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05  10   20   9.967

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05  10   50   9.133

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05  10  100   8.583


  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05  20    1   8.483

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05  20    2   7.367

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05  20    5   5.533

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
